"Top 3 values of operator_technology","time per 30 days","Latency"
Cable,"2011-12-22","2,179.143"
Cable,"2012-01-21","2,181.383"
Cable,"2012-02-20","2,196.523"
Cable,"2012-03-21","2,134.46"
Cable,"2012-04-20","2,145.526"
Cable,"2012-05-20","2,132.424"
Cable,"2012-06-19","2,195.458"
Cable,"2012-07-19","2,160.767"
Cable,"2012-08-18","2,184.578"
Cable,"2012-09-17","2,214.156"
Cable,"2012-10-17","2,149.791"
Cable,"2012-11-16","2,201.392"
Cable,"2012-12-16","2,204.492"
Cable,"2013-01-15","2,032.668"
Cable,"2013-02-14","2,049.613"
Cable,"2013-03-16","2,016.148"
Cable,"2013-04-15","1,985.183"
Cable,"2013-05-15","1,982.397"
Cable,"2013-06-14","1,988.687"
Cable,"2013-07-14","1,961.948"
Cable,"2013-08-13","1,900.794"
Cable,"2013-09-12","1,871.25"
Cable,"2013-10-12","1,850.618"
Cable,"2013-11-11","1,872.298"
Cable,"2013-12-11","1,861.524"
Cable,"2014-01-10","1,863.511"
Cable,"2014-02-09","1,878.746"
Cable,"2014-03-11","1,945.987"
Cable,"2014-04-10","1,927.23"
Cable,"2014-05-10","1,872.762"
Cable,"2014-06-09","1,884.566"
Cable,"2014-07-09","1,890.154"
Cable,"2014-08-08","1,884.124"
Cable,"2014-09-07","2,051.519"
Cable,"2014-10-07","2,081.61"
Cable,"2014-11-06","2,097.864"
Cable,"2014-12-06","2,017.113"
Cable,"2015-01-05","2,076.931"
Cable,"2015-02-04","2,150.434"
Cable,"2015-03-06","2,096.852"
Cable,"2015-04-05","2,126.028"
Cable,"2015-05-05","2,125.161"
Cable,"2015-06-04","2,104.157"
Cable,"2015-07-04","2,037.135"
Cable,"2015-08-03","1,987.762"
Cable,"2015-09-02","1,910.445"
Cable,"2015-10-02","1,847.979"
Cable,"2015-11-01","1,845.623"
Cable,"2015-12-01","1,784.009"
Cable,"2015-12-31","1,722.712"
Cable,"2016-01-30","1,607.153"
Cable,"2016-02-29","1,573.29"
Cable,"2016-03-30","1,613.704"
Cable,"2016-04-29","1,595.043"
Cable,"2016-05-29","1,556.514"
Cable,"2016-07-28","1,487.535"
Cable,"2016-08-27","1,443.224"
Cable,"2016-09-26","1,527.107"
Cable,"2016-10-26","1,478.42"
Cable,"2016-11-25","1,442.083"
Cable,"2016-12-25","1,375.629"
Cable,"2017-01-24","1,349.058"
Cable,"2017-02-23","1,315.18"
Cable,"2017-03-25","1,269.369"
Cable,"2017-04-24","1,231.163"
Cable,"2017-05-24","1,181.19"
Cable,"2017-06-23","1,241.561"
Cable,"2017-07-23","1,347.152"
Cable,"2017-08-22","1,296.646"
Cable,"2017-09-21","1,288.186"
Cable,"2017-10-21","1,286.908"
Cable,"2017-11-20","1,235.403"
Cable,"2017-12-20","1,266.045"
Cable,"2018-01-19","1,212.346"
Cable,"2018-02-18","1,235.984"
Cable,"2018-03-20","1,149.493"
Cable,"2018-04-19","1,163.801"
Cable,"2018-05-19","1,223.397"
Cable,"2018-06-18","1,195.811"
Cable,"2018-07-18","1,175.257"
Cable,"2018-08-17","1,043.16"
Cable,"2018-09-16","957.159"
Cable,"2018-10-16","936.122"
Cable,"2018-11-15","895.977"
Cable,"2018-12-15","899.967"
Cable,"2019-01-14","924.832"
Cable,"2019-02-13","952.931"
Cable,"2019-03-15","936.017"
Cable,"2019-04-14","914.81"
Cable,"2019-05-14","922.761"
Cable,"2019-06-13","1,031.31"
Cable,"2019-07-13","1,125.92"
Cable,"2019-08-12","1,067.221"
Cable,"2019-09-11","1,075.748"
Cable,"2019-10-11","1,082.008"
Cable,"2019-11-10","1,021.111"
Cable,"2019-12-10","1,081.653"
Cable,"2020-01-09","1,095.03"
Cable,"2020-02-08","1,093.214"
Cable,"2020-03-09","1,141.5"
Cable,"2020-04-08","1,140.373"
Cable,"2020-05-08","1,082.171"
Cable,"2020-06-07","1,120.297"
Cable,"2020-07-07","1,065.821"
Cable,"2020-08-06","1,018.881"
Cable,"2020-10-05","946.502"
Cable,"2020-11-04","934.937"
Cable,"2020-12-04","923.848"
Cable,"2021-01-03","911.668"
Cable,"2021-02-02","896.238"
Cable,"2021-03-04","883.909"
Cable,"2021-04-03","932.443"
Cable,"2021-05-03","919.704"
Cable,"2021-06-02","914.999"
Cable,"2021-07-02","892.028"
Cable,"2021-08-01","883.248"
Cable,"2021-08-31","866.447"
Cable,"2021-09-30","903.878"
Cable,"2021-10-30","924.42"
Cable,"2021-11-29","892.936"
Cable,"2021-12-29","842.179"
Cable,"2022-01-28","816.008"
Cable,"2022-02-27","811.785"
Cable,"2022-03-29","804.475"
Cable,"2022-04-28","774.669"
Cable,"2022-05-28","747.847"
Cable,"2022-06-27","762.509"
Cable,"2022-07-27","762.988"
Cable,"2022-08-26","769.764"
Cable,"2022-10-25","728.606"
Cable,"2022-11-24","752.038"
Cable,"2022-12-24","714.404"
Cable,"2023-01-23","710.812"
Cable,"2023-02-22","682.438"
Cable,"2023-03-24","730.685"
Cable,"2023-04-23","714.644"
Cable,"2023-05-23","737.476"
Cable,"2023-06-22","779.618"
Cable,"2023-07-22","731.128"
DSL,"2011-12-22","2,504.987"
DSL,"2012-01-21","2,522.252"
DSL,"2012-02-20","2,498.058"
DSL,"2012-03-21","2,508.776"
DSL,"2012-04-20","2,547.127"
DSL,"2012-05-20","2,556.658"
DSL,"2012-06-19","2,496.822"
DSL,"2012-07-19","2,497.146"
DSL,"2012-08-18","2,514.004"
DSL,"2012-09-17","2,500.951"
DSL,"2012-10-17","2,550.16"
DSL,"2012-11-16","2,496.216"
DSL,"2012-12-16","2,516.357"
DSL,"2013-01-15","2,754.318"
DSL,"2013-02-14","2,696.094"
DSL,"2013-03-16","2,715.924"
DSL,"2013-04-15","2,696.027"
DSL,"2013-05-15","2,698.353"
DSL,"2013-06-14","2,748.259"
DSL,"2013-07-14","2,736.813"
DSL,"2013-08-13","2,744.41"
DSL,"2013-09-12","2,774.668"
DSL,"2013-10-12","2,766.475"
DSL,"2013-11-11","2,800.429"
DSL,"2013-12-11","2,806.938"
DSL,"2014-01-10","2,809.915"
DSL,"2014-02-09","2,813.651"
DSL,"2014-03-11","2,760.039"
DSL,"2014-04-10","2,779.478"
DSL,"2014-05-10","2,786.884"
DSL,"2014-06-09","2,757.194"
DSL,"2014-07-09","2,707.438"
DSL,"2014-08-08","2,659.113"
DSL,"2014-09-07","2,669.199"
DSL,"2014-10-07","2,676.181"
DSL,"2014-11-06","2,654.27"
DSL,"2014-12-06","2,658.447"
DSL,"2015-01-05","2,748.826"
DSL,"2015-02-04","2,748.472"
DSL,"2015-03-06","2,781.076"
DSL,"2015-04-05","2,771.169"
DSL,"2015-05-05","2,769.154"
DSL,"2015-06-04","2,762.566"
DSL,"2015-07-04","2,767.609"
DSL,"2015-08-03","2,778.694"
DSL,"2015-09-02","2,781.778"
DSL,"2015-10-02","2,766.694"
DSL,"2015-11-01","2,769.323"
DSL,"2015-12-01","2,759.876"
DSL,"2015-12-31","2,578.95"
DSL,"2016-01-30","2,582.101"
DSL,"2016-02-29","2,561.067"
DSL,"2016-03-30","2,575.094"
DSL,"2016-04-29","2,633.678"
DSL,"2016-05-29","2,607.952"
DSL,"2016-07-28","2,639.317"
DSL,"2016-08-27","2,590.421"
DSL,"2016-09-26","2,605.942"
DSL,"2016-10-26","2,618.914"
DSL,"2016-11-25","2,627.88"
DSL,"2016-12-25","2,705.472"
DSL,"2017-01-24","2,728.698"
DSL,"2017-02-23","2,730.029"
DSL,"2017-03-25","2,726.509"
DSL,"2017-04-24","2,723.301"
DSL,"2017-05-24","2,718.524"
DSL,"2017-06-23","2,710.487"
DSL,"2017-07-23","2,737.971"
DSL,"2017-08-22","2,677.387"
DSL,"2017-09-21","2,621.81"
DSL,"2017-10-21","2,615.199"
DSL,"2017-11-20","2,619.949"
DSL,"2017-12-20","2,598.049"
DSL,"2018-01-19","2,536.192"
DSL,"2018-02-18","2,521.791"
DSL,"2018-03-20","2,564.645"
DSL,"2018-04-19","2,601.083"
DSL,"2018-05-19","2,539.26"
DSL,"2018-06-18","2,533.107"
DSL,"2018-07-18","2,546.512"
DSL,"2018-08-17","2,531.768"
DSL,"2018-09-16","2,474.761"
DSL,"2018-10-16","2,502.545"
DSL,"2018-11-15","2,483.183"
DSL,"2018-12-15","2,473.763"
DSL,"2019-01-14","2,459.141"
DSL,"2019-02-13","2,411.103"
DSL,"2019-03-15","2,400.429"
DSL,"2019-04-14","2,415.136"
DSL,"2019-05-14","2,425.989"
DSL,"2019-06-13","2,380.483"
DSL,"2019-07-13","2,425.57"
DSL,"2019-08-12","2,371.763"
DSL,"2019-09-11","2,338.68"
DSL,"2019-10-11","2,318.66"
DSL,"2019-11-10","2,242.464"
DSL,"2019-12-10","2,227.58"
DSL,"2020-01-09","2,217.011"
DSL,"2020-02-08","2,297.919"
DSL,"2020-03-09","2,309.867"
DSL,"2020-04-08","2,268.055"
DSL,"2020-05-08","2,231.461"
DSL,"2020-06-07","2,362.524"
DSL,"2020-07-07","2,356.053"
DSL,"2020-08-06","2,043.381"
DSL,"2020-10-05","1,897.866"
DSL,"2020-11-04","1,928.397"
DSL,"2020-12-04","1,913.885"
DSL,"2021-01-03","1,965.484"
DSL,"2021-02-02","2,013.302"
DSL,"2021-03-04","1,918.643"
DSL,"2021-04-03","1,953.331"
DSL,"2021-05-03","2,132.361"
DSL,"2021-06-02","2,114.945"
DSL,"2021-07-02","2,084.73"
DSL,"2021-08-01","2,135.166"
DSL,"2021-08-31","2,132.317"
DSL,"2021-09-30","2,147.268"
DSL,"2021-10-30","2,099.971"
DSL,"2021-11-29","2,102.183"
DSL,"2021-12-29","2,096.032"
DSL,"2022-01-28","2,008.486"
DSL,"2022-02-27","1,986.559"
DSL,"2022-03-29","1,956.518"
DSL,"2022-04-28","1,889.431"
DSL,"2022-05-28","1,876.922"
DSL,"2022-06-27","1,882.285"
DSL,"2022-07-27","1,960.692"
DSL,"2022-08-26","1,947.172"
DSL,"2022-10-25","1,795.959"
DSL,"2022-11-24","1,767.743"
DSL,"2022-12-24","1,854.69"
DSL,"2023-01-23","1,801.435"
DSL,"2023-02-22","1,749.077"
DSL,"2023-03-24","1,577.519"
DSL,"2023-04-23","1,730.59"
DSL,"2023-05-23","1,639.409"
DSL,"2023-06-22","1,608.503"
DSL,"2023-07-22","1,598.17"
Fiber,"2011-12-22","725.369"
Fiber,"2012-01-21","960.915"
Fiber,"2012-02-20","1,091.009"
Fiber,"2012-03-21","795.249"
Fiber,"2012-04-20","724.005"
Fiber,"2012-05-20","710.393"
Fiber,"2012-06-19","727.267"
Fiber,"2012-07-19","736.824"
Fiber,"2012-08-18","747.584"
Fiber,"2012-09-17","726.523"
Fiber,"2012-10-17","686.207"
Fiber,"2012-11-16","697.992"
Fiber,"2012-12-16","723.26"
Fiber,"2013-01-15","754.312"
Fiber,"2013-02-14","732.899"
Fiber,"2013-03-16","730.558"
Fiber,"2013-04-15","734.812"
Fiber,"2013-05-15","720.884"
Fiber,"2013-06-14","710.041"
Fiber,"2013-07-14","757.354"
Fiber,"2013-08-13","762.278"
Fiber,"2013-09-12","753.146"
Fiber,"2013-10-12","739.667"
Fiber,"2013-11-11","742.576"
Fiber,"2013-12-11","707.718"
Fiber,"2014-01-10","686.677"
Fiber,"2014-02-09","723.732"
Fiber,"2014-03-11","705.866"
Fiber,"2014-04-10","693.392"
Fiber,"2014-05-10","689.191"
Fiber,"2014-06-09","682.217"
Fiber,"2014-07-09","659.988"
Fiber,"2014-08-08","614.971"
Fiber,"2014-09-07","574.04"
Fiber,"2014-10-07","561.808"
Fiber,"2014-11-06","549.925"
Fiber,"2014-12-06","570.342"
Fiber,"2015-01-05","553.046"
Fiber,"2015-02-04","588.93"
Fiber,"2015-03-06","570.509"
Fiber,"2015-04-05","568.324"
Fiber,"2015-05-05","577.878"
Fiber,"2015-06-04","582.859"
Fiber,"2015-07-04","578.156"
Fiber,"2015-08-03","565.478"
Fiber,"2015-09-02","554.097"
Fiber,"2015-10-02","563.655"
Fiber,"2015-11-01","573.011"
Fiber,"2015-12-01","542.798"
Fiber,"2015-12-31","589.579"
Fiber,"2016-01-30","539.195"
Fiber,"2016-02-29","528.074"
Fiber,"2016-03-30","588.518"
Fiber,"2016-04-29","523.64"
Fiber,"2016-05-29","474.049"
Fiber,"2016-07-28","522.892"
Fiber,"2016-08-27","549.119"
Fiber,"2016-09-26","522.178"
Fiber,"2016-10-26","499.566"
Fiber,"2016-11-25","475.59"
Fiber,"2016-12-25","499.839"
Fiber,"2017-01-24","492.133"
Fiber,"2017-02-23","482.825"
Fiber,"2017-03-25","504.318"
Fiber,"2017-04-24","494.508"
Fiber,"2017-05-24","485.532"
Fiber,"2017-06-23","466.248"
Fiber,"2017-07-23","468.929"
Fiber,"2017-08-22","472.737"
Fiber,"2017-09-21","447.171"
Fiber,"2017-10-21","447.556"
Fiber,"2017-11-20","442.798"
Fiber,"2017-12-20","451.337"
Fiber,"2018-01-19","462.303"
Fiber,"2018-02-18","425.213"
Fiber,"2018-03-20","416.317"
Fiber,"2018-04-19","429.778"
Fiber,"2018-05-19","454.662"
Fiber,"2018-06-18","468.488"
Fiber,"2018-07-18","478.358"
Fiber,"2018-08-17","469.366"
Fiber,"2018-09-16","415.59"
Fiber,"2018-10-16","385.498"
Fiber,"2018-11-15","379.712"
Fiber,"2018-12-15","383.887"
Fiber,"2019-01-14","336.787"
Fiber,"2019-02-13","335.813"
Fiber,"2019-03-15","355.463"
Fiber,"2019-04-14","389.416"
Fiber,"2019-05-14","368.367"
Fiber,"2019-06-13","365.787"
Fiber,"2019-07-13","314.74"
Fiber,"2019-08-12","276.488"
Fiber,"2019-09-11","269.812"
Fiber,"2019-10-11","267.243"
Fiber,"2019-11-10","254.44"
Fiber,"2019-12-10","264.673"
Fiber,"2020-01-09","901.248"
Fiber,"2020-02-08","895.192"
Fiber,"2020-03-09","894.807"
Fiber,"2020-04-08","941.984"
Fiber,"2020-05-08","940.961"
Fiber,"2020-06-07","926.217"
Fiber,"2020-07-07","900.778"
Fiber,"2020-08-06","867.932"
Fiber,"2020-10-05","714.95"
Fiber,"2020-11-04","761.747"
Fiber,"2020-12-04","792.578"
Fiber,"2021-01-03","892.439"
Fiber,"2021-02-02","848.389"
Fiber,"2021-03-04","854.524"
Fiber,"2021-04-03","904.528"
Fiber,"2021-05-03","764.522"
Fiber,"2021-06-02","280.108"
Fiber,"2021-07-02","262.149"
Fiber,"2021-08-01","246.036"
Fiber,"2021-08-31","235.948"
Fiber,"2021-09-30","249.893"
Fiber,"2021-10-30","216.874"
Fiber,"2021-11-29","188.269"
Fiber,"2021-12-29","211.56"
Fiber,"2022-01-28","231.917"
Fiber,"2022-02-27","243.452"
Fiber,"2022-03-29","243.536"
Fiber,"2022-04-28","278.578"
Fiber,"2022-05-28","293.536"
Fiber,"2022-06-27","276.331"
Fiber,"2022-07-27","283.268"
Fiber,"2022-08-26","305.996"
Fiber,"2022-10-25","323.388"
Fiber,"2022-11-24","282.056"
Fiber,"2022-12-24","263.169"
Fiber,"2023-01-23","310.427"
Fiber,"2023-02-22","255.205"
Fiber,"2023-03-24","224.271"
Fiber,"2023-04-23","228.548"
Fiber,"2023-05-23","233.825"
Fiber,"2023-06-22","248.948"
Fiber,"2023-07-22","274.456"
