"Top 3 values of operator_technology","dtime per 30 days","Latency"
Cable,"2011-12-22","2,064.588"
Cable,"2012-01-21","2,124.35"
Cable,"2012-02-20","2,088.941"
Cable,"2012-03-21","2,058.291"
Cable,"2012-04-20","2,042.659"
Cable,"2012-05-20","2,029.842"
Cable,"2012-06-19","2,036.858"
Cable,"2012-07-19","2,032.768"
Cable,"2012-08-18","2,044.533"
Cable,"2012-09-17","2,054.28"
Cable,"2012-10-17","2,052.379"
Cable,"2012-11-16","2,050.713"
Cable,"2012-12-16","2,056.213"
Cable,"2013-01-15","2,055.226"
Cable,"2013-02-14","2,055.097"
Cable,"2013-03-16","2,052.536"
Cable,"2013-04-15","2,050.203"
Cable,"2013-05-15","2,042.203"
Cable,"2013-06-14","2,048.933"
Cable,"2013-07-14","2,053.628"
Cable,"2013-08-13","2,054.31"
Cable,"2013-09-12","2,051.476"
Cable,"2013-10-12","2,054.271"
Cable,"2013-11-11","2,057.113"
Cable,"2013-12-11","2,055.174"
Cable,"2014-01-10","2,060.172"
Cable,"2014-02-09","2,058.793"
Cable,"2014-03-11","2,055.27"
Cable,"2014-04-10","2,053.162"
Cable,"2014-05-10","2,051.599"
Cable,"2014-06-09","2,054.277"
Cable,"2014-07-09","2,058.301"
Cable,"2014-08-08","2,071.66"
Cable,"2014-09-07","2,090.218"
Cable,"2014-10-07","2,092.54"
Cable,"2014-11-06","2,092.306"
Cable,"2014-12-06","2,092.697"
Cable,"2015-01-05","2,093.035"
Cable,"2015-02-04","2,093.124"
Cable,"2015-03-06","2,093.183"
Cable,"2015-04-05","2,093.069"
Cable,"2015-05-05","2,095.3"
Cable,"2015-06-04","2,096.973"
Cable,"2015-07-04","2,095.852"
Cable,"2015-08-03","2,095.702"
Cable,"2015-09-02","2,094.357"
Cable,"2015-10-02","2,094.431"
Cable,"2015-11-01","2,096.333"
Cable,"2015-12-01","2,096.861"
Cable,"2015-12-31","2,093.957"
Cable,"2016-01-30","2,090.785"
Cable,"2016-02-29","2,094.594"
Cable,"2016-03-30","2,108.729"
Cable,"2016-04-29","2,116.292"
Cable,"2016-05-29","2,113.078"
Cable,"2016-06-28","2,113.111"
Cable,"2016-07-28","2,120.489"
Cable,"2016-08-27","2,133.565"
Cable,"2016-09-26","2,129.962"
Cable,"2016-10-26","2,138.407"
Cable,"2016-11-25","2,140.17"
Cable,"2016-12-25","2,141.548"
Cable,"2017-01-24","2,143.076"
Cable,"2017-02-23","2,136.01"
Cable,"2017-03-25","2,138.682"
Cable,"2017-04-24","2,136.696"
Cable,"2017-05-24","2,127.323"
Cable,"2017-06-23","2,131.5"
Cable,"2017-07-23","2,128.97"
Cable,"2017-08-22","2,149.252"
Cable,"2017-09-21","2,159.573"
Cable,"2017-10-21","2,150.612"
Cable,"2017-11-20","2,155.162"
Cable,"2017-12-20","2,154.059"
Cable,"2018-01-19","2,137.674"
Cable,"2018-02-18","2,139.867"
Cable,"2018-03-20","2,138.393"
Cable,"2018-04-19","2,133.357"
Cable,"2018-05-19","2,131.27"
Cable,"2018-06-18","2,147.089"
Cable,"2018-07-18","2,160.266"
Cable,"2018-08-17","2,156.249"
Cable,"2018-09-16","2,152.918"
Cable,"2018-10-16","2,148.918"
Cable,"2018-11-15","2,149.029"
Cable,"2018-12-15","2,150.048"
Cable,"2019-01-14","2,156.361"
Cable,"2019-02-13","2,156.798"
Cable,"2019-03-15","2,156.281"
Cable,"2019-04-14","2,163.014"
Cable,"2019-05-14","2,148.353"
Cable,"2019-06-13","2,132.838"
Cable,"2019-07-13","2,133.135"
Cable,"2019-08-12","2,115.754"
Cable,"2019-09-11","2,126.63"
Cable,"2019-10-11","2,132.625"
Cable,"2019-11-10","2,083.918"
Cable,"2019-12-10","2,074.077"
Cable,"2020-01-09","2,122.565"
Cable,"2020-02-08","2,111.594"
Cable,"2020-03-09","2,101.137"
Cable,"2020-04-08","2,077.147"
Cable,"2020-05-08","2,062.617"
Cable,"2020-06-07","2,059.32"
Cable,"2020-07-07","2,081.536"
Cable,"2020-08-06","2,081.244"
Cable,"2020-10-05","1,677.779"
Cable,"2020-11-04","1,673.248"
Cable,"2020-12-04","1,719.311"
Cable,"2021-01-03","1,772.56"
Cable,"2021-02-02","1,676.548"
Cable,"2021-03-04","1,658.051"
Cable,"2021-04-03","1,639.991"
Cable,"2021-05-03","1,684.264"
Cable,"2021-06-02","1,702.55"
Cable,"2021-07-02","1,707.675"
Cable,"2021-08-01","1,650.225"
Cable,"2021-08-31","1,224.181"
Cable,"2021-09-30","1,138.549"
Cable,"2021-10-30","1,324.923"
Cable,"2021-11-29","1,705.347"
Cable,"2021-12-29","1,699.051"
Cable,"2022-01-28","1,669.503"
Cable,"2022-02-27","1,666.58"
Cable,"2022-03-29","1,643.066"
Cable,"2022-04-28","1,615.165"
Cable,"2022-05-28","1,572.302"
Cable,"2022-06-27","1,578.332"
Cable,"2022-07-27","1,556.68"
Cable,"2022-08-26","1,632.566"
Cable,"2022-10-25","1,610.169"
Cable,"2022-11-24","1,609.199"
Cable,"2022-12-24","1,609.736"
Cable,"2023-01-23","1,635.302"
Cable,"2023-02-22","1,629.548"
Cable,"2023-03-24","1,484.336"
DSL,"2011-12-22","2,770.363"
DSL,"2012-01-21","2,824.71"
DSL,"2012-02-20","2,816.903"
DSL,"2012-03-21","2,803.618"
DSL,"2012-04-20","2,797.197"
DSL,"2012-05-20","2,795.539"
DSL,"2012-06-19","2,735.657"
DSL,"2012-07-19","2,750.123"
DSL,"2012-08-18","2,698.541"
DSL,"2012-09-17","2,639.292"
DSL,"2012-10-17","2,642.291"
DSL,"2012-11-16","2,596.156"
DSL,"2012-12-16","2,613.727"
DSL,"2013-01-15","2,700.12"
DSL,"2013-02-14","2,695.44"
DSL,"2013-03-16","2,691.498"
DSL,"2013-04-15","2,664.249"
DSL,"2013-05-15","2,661.145"
DSL,"2013-06-14","2,653.892"
DSL,"2013-07-14","2,651.966"
DSL,"2013-08-13","2,646.534"
DSL,"2013-09-12","2,649.128"
DSL,"2013-10-12","2,666.443"
DSL,"2013-11-11","2,665.147"
DSL,"2013-12-11","2,669.031"
DSL,"2014-01-10","2,663.8"
DSL,"2014-02-09","2,664.294"
DSL,"2014-03-11","2,700.17"
DSL,"2014-04-10","2,637.9"
DSL,"2014-05-10","2,611.412"
DSL,"2014-06-09","2,624.744"
DSL,"2014-07-09","2,582.36"
DSL,"2014-08-08","2,497.799"
DSL,"2014-09-07","2,499.889"
DSL,"2014-10-07","2,453.14"
DSL,"2014-11-06","2,488.109"
DSL,"2014-12-06","2,546.785"
DSL,"2015-01-05","2,642.98"
DSL,"2015-02-04","2,625.92"
DSL,"2015-03-06","2,673.378"
DSL,"2015-04-05","2,639.907"
DSL,"2015-05-05","2,643.073"
DSL,"2015-06-04","2,672.45"
DSL,"2015-07-04","2,651.253"
DSL,"2015-08-03","2,579.39"
DSL,"2015-09-02","2,594.965"
DSL,"2015-10-02","2,539.444"
DSL,"2015-11-01","2,577.355"
DSL,"2015-12-01","2,570.854"
DSL,"2015-12-31","2,302.188"
DSL,"2016-01-30","2,337.047"
DSL,"2016-02-29","2,432.566"
DSL,"2016-03-30","2,402.233"
DSL,"2016-04-29","2,355.247"
DSL,"2016-05-29","2,313.061"
DSL,"2016-06-28","2,461.733"
DSL,"2016-07-28","2,522.831"
DSL,"2016-08-27","2,649.923"
DSL,"2016-09-26","2,658.864"
DSL,"2016-10-26","2,596.213"
DSL,"2016-11-25","2,549.766"
DSL,"2016-12-25","2,683.425"
DSL,"2017-01-24","2,678.431"
DSL,"2017-02-23","2,672.953"
DSL,"2017-03-25","2,689.933"
DSL,"2017-04-24","2,686.496"
DSL,"2017-05-24","2,686.359"
DSL,"2017-06-23","2,710.436"
DSL,"2017-07-23","2,728.536"
DSL,"2017-08-22","2,793.444"
DSL,"2017-09-21","2,786.841"
DSL,"2017-10-21","2,772.101"
DSL,"2017-11-20","2,738.225"
DSL,"2017-12-20","2,634.95"
DSL,"2018-01-19","2,699.003"
DSL,"2018-02-18","2,629.162"
DSL,"2018-03-20","2,605.49"
DSL,"2018-04-19","2,720.996"
DSL,"2018-05-19","2,729.651"
DSL,"2018-06-18","2,689.548"
DSL,"2018-07-18","2,492.448"
DSL,"2018-08-17","2,580.64"
DSL,"2018-09-16","2,605.581"
DSL,"2018-10-16","2,636.841"
DSL,"2018-11-15","2,618.76"
DSL,"2018-12-15","2,629.059"
DSL,"2019-01-14","2,582.98"
DSL,"2019-02-13","2,561.457"
DSL,"2019-03-15","2,576.959"
DSL,"2019-04-14","2,534.218"
DSL,"2019-05-14","2,463.87"
DSL,"2019-06-13","2,520.572"
DSL,"2019-07-13","2,549.792"
DSL,"2019-08-12","2,516.42"
DSL,"2019-09-11","2,544.741"
DSL,"2019-10-11","2,562.445"
DSL,"2019-11-10","2,520.443"
DSL,"2019-12-10","2,480.97"
DSL,"2020-01-09","2,380.286"
DSL,"2020-02-08","2,396.849"
DSL,"2020-03-09","2,368.878"
DSL,"2020-04-08","2,428.851"
DSL,"2020-05-08","2,376.569"
DSL,"2020-06-07","2,368.083"
DSL,"2020-07-07","2,391.276"
DSL,"2020-08-06","2,048.827"
DSL,"2020-10-05","2,497.647"
DSL,"2020-11-04","2,536.377"
DSL,"2020-12-04","2,567.872"
DSL,"2021-01-03","2,506.534"
DSL,"2021-02-02","2,516.125"
DSL,"2021-03-04","2,453.588"
DSL,"2021-04-03","2,437.125"
DSL,"2021-05-03","1,966.907"
DSL,"2021-06-02","1,998.703"
DSL,"2021-07-02","2,081.356"
DSL,"2021-08-01","2,058.133"
DSL,"2021-08-31","1,995.191"
DSL,"2021-09-30","1,990.589"
DSL,"2021-10-30","1,884.514"
DSL,"2021-11-29","1,808.236"
DSL,"2021-12-29","1,765.07"
DSL,"2022-01-28","1,726.671"
DSL,"2022-02-27","1,779.455"
DSL,"2022-03-29","1,804.879"
DSL,"2022-04-28","1,828.274"
DSL,"2022-05-28","1,833.113"
DSL,"2022-06-27","1,868.153"
DSL,"2022-07-27","1,886.737"
DSL,"2022-08-26","1,907.264"
DSL,"2022-10-25","1,783.506"
DSL,"2022-11-24","1,771.839"
DSL,"2022-12-24","1,769.037"
DSL,"2023-01-23","1,778.807"
DSL,"2023-02-22","1,805.896"
DSL,"2023-03-24","1,812.085"
Fiber,"2011-12-22","851.165"
Fiber,"2012-01-21","1,197.698"
Fiber,"2012-02-20","1,511.681"
Fiber,"2012-03-21","977.065"
Fiber,"2012-04-20","749.518"
Fiber,"2012-05-20","745.131"
Fiber,"2012-06-19","739.809"
Fiber,"2012-07-19","754.747"
Fiber,"2012-08-18","817.66"
Fiber,"2012-09-17","837.494"
Fiber,"2012-10-17","882.244"
Fiber,"2012-11-16","838.889"
Fiber,"2012-12-16","793.239"
Fiber,"2013-01-15","739.755"
Fiber,"2013-02-14","738.512"
Fiber,"2013-03-16","735.174"
Fiber,"2013-04-15","738.835"
Fiber,"2013-05-15","735.451"
Fiber,"2013-06-14","705.298"
Fiber,"2013-07-14","725.861"
Fiber,"2013-08-13","720.516"
Fiber,"2013-09-12","733.553"
Fiber,"2013-10-12","722.497"
Fiber,"2013-11-11","734.491"
Fiber,"2013-12-11","744.877"
Fiber,"2014-01-10","699.842"
Fiber,"2014-02-09","687.345"
Fiber,"2014-03-11","664.238"
Fiber,"2014-04-10","646.966"
Fiber,"2014-05-10","650.076"
Fiber,"2014-06-09","635.276"
Fiber,"2014-07-09","626.943"
Fiber,"2014-08-08","638.86"
Fiber,"2014-09-07","624.931"
Fiber,"2014-10-07","644.418"
Fiber,"2014-11-06","624.289"
Fiber,"2014-12-06","646.022"
Fiber,"2015-01-05","647.965"
Fiber,"2015-02-04","654.94"
Fiber,"2015-03-06","647.869"
Fiber,"2015-04-05","619.414"
Fiber,"2015-05-05","644.835"
Fiber,"2015-06-04","648.743"
Fiber,"2015-07-04","643.105"
Fiber,"2015-08-03","645.829"
Fiber,"2015-09-02","634.567"
Fiber,"2015-10-02","654.198"
Fiber,"2015-11-01","661.79"
Fiber,"2015-12-01","627.232"
Fiber,"2015-12-31","614.593"
Fiber,"2016-01-30","626.875"
Fiber,"2016-02-29","622.256"
Fiber,"2016-03-30","572.798"
Fiber,"2016-04-29","560.417"
Fiber,"2016-05-29","573.151"
Fiber,"2016-06-28","605.556"
Fiber,"2016-07-28","703.092"
Fiber,"2016-08-27","782.436"
Fiber,"2016-09-26","754.646"
Fiber,"2016-10-26","808.983"
Fiber,"2016-11-25","816.353"
Fiber,"2016-12-25","832.746"
Fiber,"2017-01-24","841.235"
Fiber,"2017-02-23","820.164"
Fiber,"2017-03-25","842.179"
Fiber,"2017-04-24","839.522"
Fiber,"2017-05-24","818.645"
Fiber,"2017-06-23","790.46"
Fiber,"2017-07-23","776.225"
Fiber,"2017-08-22","756.518"
Fiber,"2017-09-21","793.515"
Fiber,"2017-10-21","769.963"
Fiber,"2017-11-20","750.828"
Fiber,"2017-12-20","767.056"
Fiber,"2018-01-19","752.827"
Fiber,"2018-02-18","753.863"
Fiber,"2018-03-20","741.175"
Fiber,"2018-04-19","737.693"
Fiber,"2018-05-19","733.426"
Fiber,"2018-06-18","744.454"
Fiber,"2018-07-18","769.989"
Fiber,"2018-08-17","801.905"
Fiber,"2018-09-16","778.193"
Fiber,"2018-10-16","766.252"
Fiber,"2018-11-15","783.899"
Fiber,"2018-12-15","804.351"
Fiber,"2019-01-14","804.81"
Fiber,"2019-02-13","804.763"
Fiber,"2019-03-15","800.314"
Fiber,"2019-04-14","815.878"
Fiber,"2019-05-14","778.221"
Fiber,"2019-06-13","772.777"
Fiber,"2019-07-13","752.656"
Fiber,"2019-08-12","699.653"
Fiber,"2019-09-11","699.216"
Fiber,"2019-10-11","702.82"
Fiber,"2019-11-10","682.569"
Fiber,"2019-12-10","659.621"
Fiber,"2020-01-09","956.362"
Fiber,"2020-02-08","939.015"
Fiber,"2020-03-09","933.891"
Fiber,"2020-04-08","995.711"
Fiber,"2020-05-08","928.831"
Fiber,"2020-06-07","916.524"
Fiber,"2020-07-07","870.097"
Fiber,"2020-08-06","767.566"
Fiber,"2020-10-05","709.36"
Fiber,"2020-11-04","747.624"
Fiber,"2020-12-04","722.207"
Fiber,"2021-01-03","1,267.641"
Fiber,"2021-02-02","1,281.947"
Fiber,"2021-03-04","1,126.361"
Fiber,"2021-04-03","1,075.529"
Fiber,"2021-05-03","1,148.001"
Fiber,"2021-06-02","1,191.529"
Fiber,"2021-07-02","1,257.111"
Fiber,"2021-08-01","1,208.847"
Fiber,"2021-08-31","1,347.148"
Fiber,"2021-09-30","1,509.789"
Fiber,"2021-10-30","1,494.582"
Fiber,"2021-11-29","1,227.385"
Fiber,"2021-12-29","1,413.26"
Fiber,"2022-01-28","1,357.342"
Fiber,"2022-02-27","1,456.337"
Fiber,"2022-03-29","1,348.94"
Fiber,"2022-04-28","1,241.281"
Fiber,"2022-05-28","1,342.268"
Fiber,"2022-06-27","1,274.163"
Fiber,"2022-07-27","1,192.246"
Fiber,"2022-08-26","1,075.848"
Fiber,"2022-10-25","1,070.164"
Fiber,"2022-11-24","911.413"
Fiber,"2022-12-24","901.182"
Fiber,"2023-01-23","1,105.212"
Fiber,"2023-02-22","1,056.686"
Fiber,"2023-03-24","699.48"
